자치구,동,0-12세(어린이),65-100이상(노인),장애인수,동별보행취약계층인구수,총인구,보행취약계층비율,area/Dong,시설개수,시설비율,slope_p
동작구,흑석동,2994,5571,1119,9186.666667,31807,0.288825311,0,34,0.0027862,0
동대문구,휘경2동,1728,3924,891,6147,24114,0.254914158,0.0015433,37,0.003032041,6
동대문구,휘경1동,986,2076,526,3354.222222,13667,0.245424908,0.0012363,18,0.001475047,2
용산구,후암동,1271,2980,767,4677.111111,17360,0.269418843,0,20,0.001638941,5
용산구,효창동,971,1473,344,2635.111111,10251,0.257058932,0.0724936,31,0.002540359,6
중구,회현동,250,1491,296,1905.444444,5114,0.372593751,0,10,0.000819471,5
동대문구,회기동,633,1505,330,2321.333333,10397,0.223269533,0,11,0.000901418,6
중구,황학동,880,2013,499,3170.222222,12613,0.251345613,0.0002743,8,0.000655576,5
광진구,화양동,523,2255,541,3078.555556,22746,0.13534492,0,23,0.001884782,1
강서구,화곡본동,2868,4737,1417,8392.222222,34467,0.243485717,0.0221333,60,0.004916824,3
강서구,화곡8동,1691,4343,1054,6619.555556,24826,0.266638023,0.0187253,30,0.002458412,2
강서구,화곡6동,1616,3820,948,5962.666667,24822,0.240217012,0.0190002,31,0.002540359,3
강서구,화곡4동,1487,3739,966,5762.666667,20952,0.275041364,0,23,0.001884782,3
강서구,화곡3동,1685,3952,854,6111.444444,21494,0.284332579,0.008752,23,0.001884782,2
강서구,화곡2동,1580,2816,774,4826,18202,0.265135699,0,21,0.001720888,6
강서구,화곡1동,3279,8157,2123,12615.44444,52083,0.242218083,0.0042835,51,0.0041793,1
서대문구,홍제3동,1004,3608,830,5073.111111,15576,0.325700508,0.0134985,28,0.002294518,4
서대문구,홍제2동,1081,2672,608,4090.777778,14003,0.292135812,0.0125919,16,0.001311153,6
서대문구,홍제1동,1990,4467,945,6982,24004,0.290868189,0.0006682,33,0.002704253,3
서대문구,홍은2동,1747,5070,1225,7497.555556,26772,0.280052127,0.0063801,26,0.002130624,6
서대문구,홍은1동,1915,4464,1058,6966.777778,22867,0.304665141,0.0079795,27,0.002212571,6
종로구,혜화동,1000,2708,590,4035.777778,16711,0.241504265,0,17,0.0013931,5
관악구,행운동,1499,4301,1070,6394.444444,29086,0.219846127,0.0006882,33,0.002704253,6
성동구,행당2동,2342,3755,906,6600.333333,23836,0.27690608,0,21,0.001720888,6
성동구,행당1동,1231,2129,517,3647.222222,14089,0.258870198,0.0005456,17,0.0013931,1
마포구,합정동,1291,2642,569,4249.111111,17735,0.239589011,0.004414,16,0.001311153,0
용산구,한남동,1514,3613,622,5472.555556,20778,0.26338221,0.000615,22,0.001802835,5
용산구,한강로동,1474,3237,525,5002.666667,21596,0.231647836,0,30,0.002458412,1
노원구,하계2동,2278,3150,993,5979.666667,22418,0.266735064,0,22,0.001802835,1
노원구,하계1동,1779,4387,2126,7347.111111,27164,0.270472357,0.021534,37,0.003032041,6
중구,필동,232,878,173,1206.111111,4015,0.300401273,0.0015175,12,0.000983365,5
송파구,풍납2동,2521,3746,828,6727,25358,0.265281174,0,38,0.003113988,1
송파구,풍납1동,909,2733,670,4014.222222,13524,0.29682211,0,15,0.001229206,1
종로구,평창동,1585,3389,538,5272.888889,18308,0.288010099,0,15,0.001229206,4
서대문구,충현동,1591,3325,764,5340.444444,20597,0.259282636,0.0004797,28,0.002294518,1
용산구,청파동,917,3321,828,4698,19700,0.238477157,0,29,0.002376465,5
종로구,청운효자동,1103,2132,461,3491.111111,12095,0.288640853,0.0016154,22,0.001802835,1
관악구,청림동,1551,2682,664,4601.888889,15333,0.300129713,0,17,0.0013931,3
관악구,청룡동,1638,4361,1068,6592.333333,35200,0.187282197,0.0166831,27,0.002212571,3
동대문구,청량리동,1044,5095,1268,6843.444444,19256,0.355392836,0.0078562,30,0.002458412,5
강남구,청담동,2812,3771,510,6866.333333,26738,0.256800558,0,33,0.002704253,6
강동구,천호3동,1603,4556,1314,6889,26428,0.260670501,0.0139567,25,0.002048677,5
강동구,천호2동,2155,5894,1735,9012.888889,33849,0.266267508,0,26,0.002130624,2
강동구,천호1동,1869,5027,1441,7696.555556,27174,0.283232338,0.0083627,31,0.002540359,5
서대문구,천연동,1604,3156,755,5179.444444,17366,0.298252012,0,19,0.001556994,6
종로구,창신3동,506,1203,340,1897.888889,6752,0.28108544,0.0001662,9,0.000737524,6
종로구,창신2동,327,1760,486,2357,8198,0.287509149,0,7,0.000573629,6
종로구,창신1동,190,1256,316,1621.555556,5054,0.320845975,0,9,0.000737524,1
도봉구,창5동,2037,4219,997,6809.888889,24944,0.273007091,0.0517202,40,0.003277882,1
도봉구,창4동,2409,4142,1001,7107.111111,26960,0.263616881,0.0017686,40,0.003277882,1
도봉구,창3동,1066,2889,784,4390.555556,14153,0.310220841,0,23,0.001884782,3
도봉구,창2동,2328,5114,1329,8180.333333,29385,0.278384663,0,37,0.003032041,1
도봉구,창1동,2104,4485,1013,7151.777778,25013,0.285922431,0.0002326,25,0.002048677,6
은평구,진관동,6931,8160,1950,16174.33333,56474,0.286403183,0,71,0.005818241,4
은평구,증산동,1070,3073,698,4530.777778,15144,0.299179726,0.003256,27,0.002212571,1
중랑구,중화2동,1311,4948,1522,7104.555556,25267,0.281179228,0.0027396,20,0.001638941,1
중랑구,중화1동,1602,3559,889,5654.888889,20058,0.281926857,0.0096214,34,0.0027862,2
관악구,중앙동,530,2335,579,3186.666667,15192,0.209759523,0,12,0.000983365,6
중구,중림동,1237,2108,534,3641.666667,12310,0.295829949,0.0255483,16,0.001311153,1
광진구,중곡4동,1859,4982,1328,7578.777778,28962,0.261680056,0.000794,33,0.002704253,4
광진구,중곡3동,984,2787,754,4189.888889,16451,0.254689009,0.0501702,31,0.002540359,1
광진구,중곡2동,1545,3198,872,5227.444444,21734,0.240519207,0.0448061,28,0.002294518,5
광진구,중곡1동,922,2454,674,3750.444444,15561,0.241015644,0.0282052,18,0.001475047,1
노원구,중계본동,2748,2525,810,5723,24571,0.232916853,0.003745,34,0.0027862,4
노원구,중계4동,1724,3969,1529,6542.444444,20450,0.319923934,0.0205229,34,0.0027862,4
노원구,중계2·3동,2725,7265,3205,11770.55556,34931,0.336965892,0,52,0.004261247,2
노원구,중계1동,3549,2285,729,6239,27121,0.23004314,0.0064839,27,0.002212571,1
성북구,종암동,3645,6538,1595,11069.11111,39187,0.282468959,0.0065726,51,0.0041793,1
종로구,종로5·6가동,157,1066,255,1364.666667,5264,0.259245188,0.0555842,17,0.0013931,1
종로구,종로1·2·3·4가동,251,1898,398,2370.111111,7227,0.327952278,0,33,0.002704253,1
관악구,조원동,863,2745,704,3999.111111,17360,0.230363543,0.0080591,25,0.002048677,1
동대문구,제기동,1365,5664,1391,7801.777778,24690,0.315989379,0,34,0.0027862,6
성북구,정릉4동,2203,4735,1044,7518,25295,0.297212888,0,28,0.002294518,4
성북구,정릉3동,808,3220,734,4435.777778,15186,0.292096522,0,15,0.001229206,3
성북구,정릉2동,1936,4343,975,6820.666667,23261,0.293223278,0,30,0.002458412,6
성북구,정릉1동,1882,3062,680,5321.777778,18413,0.289022852,0,26,0.002130624,6
동대문구,전농2동,1695,3603,926,5812.444444,18954,0.30666057,0,29,0.002376465,6
동대문구,전농1동,2327,5455,1526,8629.777778,29536,0.292178283,0.0011883,27,0.002212571,6
중구,장충동,239,845,198,1194,4566,0.261498029,0,8,0.000655576,5
송파구,장지동,2996,4174,1343,7916.111111,29816,0.265498763,0.010563,84,0.006883553,6
성북구,장위3동,2134,2153,674,4661.444444,16398,0.284269084,0,22,0.001802835,1
성북구,장위2동,813,3055,719,4267.444444,13716,0.311128933,0,23,0.001884782,6
성북구,장위1동,2232,3934,1089,6771,24100,0.280954357,0,21,0.001720888,6
동대문구,장안2동,3725,5087,1332,9552,32698,0.292127959,0.0130974,53,0.004343194,1
동대문구,장안1동,3266,6289,1716,10508.33333,38445,0.2733342,0,42,0.003441777,1
서초구,잠원동,3161,3339,540,6800,27813,0.244489987,0.0037839,24,0.001966729,0
송파구,잠실본동,1711,3647,800,5802.444444,28278,0.205192886,0,20,0.001638941,1
송파구,잠실7동,823,2110,211,3050.222222,9747,0.312939594,0,3,0.000245841,1
송파구,잠실6동,1965,2739,371,4910.111111,16982,0.28913621,0,22,0.001802835,0
송파구,잠실4동,3680,2678,437,6600.777778,21397,0.308490806,0,25,0.002048677,1
송파구,잠실3동,4526,5470,691,10379.88889,34802,0.298255528,0,31,0.002540359,1
송파구,잠실2동,5980,3439,569,9735.111111,35585,0.273573447,0,23,0.001884782,0
광진구,자양4동,891,3561,874,4937.555556,17529,0.281679249,0,17,0.0013931,1
광진구,자양3동,3032,4087,809,7568.444444,28530,0.265280212,0,34,0.0027862,1
광진구,자양2동,2107,3893,945,6525,25308,0.257823613,0,50,0.004097353,0
광진구,자양1동,1334,3378,947,5238.111111,22591,0.231867164,0.0022551,27,0.002212571,2
강남구,일원본동,3242,2938,718,6578.888889,23665,0.278000798,0,23,0.001884782,3
강남구,일원2동,1821,3279,1164,5746.666667,17928,0.320541425,0.0562099,27,0.002212571,1
강남구,일원1동,1029,3186,1089,4820,15486,0.31124887,0.0116491,25,0.002048677,1
관악구,인헌동,1506,3961,917,5976.444444,25970,0.230128781,0.0013073,20,0.001638941,6
강북구,인수동,2119,6899,1791,10013,30933,0.323699609,0.0058698,45,0.003687618,4
종로구,이화동,345,1336,328,1863.222222,7399,0.251820817,0.0127691,25,0.002048677,2
용산구,이태원2동,553,1823,326,2557.111111,9193,0.278158502,0,8,0.000655576,1
용산구,이태원1동,294,1517,231,1939.333333,6822,0.284276361,0,10,0.000819471,1
용산구,이촌2동,678,1749,370,2632.555556,8547,0.308009308,0,9,0.000737524,0
용산구,이촌1동,3629,4424,528,8346.333333,27739,0.30088804,0,28,0.002294518,0
동대문구,이문2동,1758,3841,995,6151.777778,20203,0.304498232,0.0137114,27,0.002212571,1
동대문구,이문1동,995,3128,809,4572.444444,18015,0.25381318,0,18,0.001475047,6
은평구,응암3동,1344,5541,1342,7630.555556,24897,0.30648494,0,30,0.002458412,1
은평구,응암2동,3953,3799,942,8275.333333,27572,0.300135403,0,17,0.0013931,6
은평구,응암1동,2927,4800,1281,8438.666667,30773,0.274223074,0.0004207,31,0.002540359,6
성동구,응봉동,1675,2553,546,4531.333333,15671,0.289154064,0,15,0.001229206,5
중구,을지로동,56,496,87,600.3333333,1796,0.334261321,0.030064,9,0.000737524,5
관악구,은천동,2859,5775,1687,9571.222222,33664,0.284316249,0.0375439,48,0.003933459,3
성북구,월곡2동,1456,3556,903,5513.666667,19720,0.279597701,0.003402,29,0.002376465,6
성북구,월곡1동,2807,4606,1178,8067.444444,26668,0.302514041,0.0189212,45,0.003687618,1
노원구,월계3동,2822,5980,1962,9892,30259,0.326911002,0.0074989,49,0.004015406,1
노원구,월계2동,2280,5750,2298,9306.666667,27195,0.342219771,0.0001888,34,0.0027862,6
노원구,월계1동,1599,4121,1026,6290,21973,0.286260411,0.0001206,41,0.00335983,6
용산구,원효로2동,1240,2378,469,3878.555556,14140,0.274296715,0,22,0.001802835,5
용산구,원효로1동,1583,1951,471,3795.666667,16099,0.235770338,0.0025926,17,0.0013931,2
강서구,우장산동,5309,5607,1259,11615.44444,43308,0.268205515,0.0176087,56,0.004589035,3
강북구,우이동,1492,4718,994,6762.222222,20691,0.326819497,0.0004144,21,0.001720888,4
동대문구,용신동,1616,5548,1466,7978.444444,31006,0.257319372,0,35,0.002868147,1
용산구,용산2가동,460,2037,468,2757,9879,0.27907683,0,12,0.000983365,1
용산구,용문동,961,2138,488,3370.111111,12207,0.276080209,0,12,0.000983365,5
성동구,용답동,543,2139,647,3041.444444,11901,0.255562091,0,16,0.001311153,1
마포구,용강동,2992,2925,594,6247,21735,0.287416609,0,25,0.002048677,1
성동구,왕십리도선동,2793,3706,992,7050.111111,26798,0.263083481,0.0021357,37,0.003032041,5
성동구,왕십리2동,1483,2573,663,4424.333333,16922,0.261454517,0,19,0.001556994,6
성동구,옥수동,3096,4048,722,7545.111111,26489,0.284839409,0,27,0.002212571,6
송파구,오륜동,2101,2679,293,4942.777778,18341,0.269493363,0.000547,18,0.001475047,5
구로구,오류2동,4506,6850,2018,12477.11111,38602,0.323224473,0,71,0.005818241,3
구로구,오류1동,1507,3939,1106,6060.444444,22766,0.266205941,0.0129023,33,0.002704253,6
송파구,오금동,3573,6149,1427,10514.77778,39052,0.269250686,0.0075597,49,0.004015406,6
영등포구,영등포본동,1710,3986,1057,6283.222222,21243,0.295778479,0,31,0.002540359,2
영등포구,영등포동,1423,3352,1053,5360,28442,0.188453695,0.0193579,38,0.003113988,1
강서구,염창동,5474,4229,1072,10298.55556,41954,0.245472555,0,55,0.004507088,0
마포구,염리동,1348,1764,409,3339.222222,12535,0.26639188,0,12,0.000983365,6
서대문구,연희동,2267,5923,1313,8919.444444,35723,0.249683522,0.0028289,39,0.003195935,6
마포구,연남동,801,2359,545,3462.777778,15404,0.224797311,0.0098364,12,0.000983365,2
은평구,역촌동,3581,8250,2181,13042.66667,46127,0.282755581,0.0156129,53,0.004343194,1
강남구,역삼2동,4580,3550,638,8484.444444,36399,0.233095537,0,26,0.002130624,5
강남구,역삼1동,1351,3598,765,5374,35507,0.151350438,0,41,0.00335983,2
영등포구,여의동,3814,6038,779,10284.77778,33516,0.306861731,0.0020912,60,0.004916824,0
영등포구,양평2동,2010,2470,604,4815.555556,22252,0.216410011,0,36,0.002950094,1
영등포구,양평1동,1510,2305,660,4181.666667,17397,0.240367113,0.0012675,26,0.002130624,1
서초구,양재2동,1866,2881,673,5120.888889,22249,0.230162654,0.0008076,24,0.001966729,3
서초구,양재1동,5418,6801,1955,13305.11111,43885,0.303181295,0.00483,59,0.004834877,3
강남구,압구정동,3017,5074,486,8361,26904,0.310771632,0,18,0.001475047,0
강동구,암사3동,2652,2537,560,5500.111111,18130,0.303370718,0.0012144,15,0.001229206,5
강동구,암사2동,1696,2315,514,4296.555556,15343,0.280033602,0.0034165,24,0.001966729,0
강동구,암사1동,2808,5898,1682,9640.444444,34959,0.275764308,0.0279465,46,0.003769565,5
성북구,안암동,580,2109,579,3010.666667,14944,0.201463241,0,21,0.001720888,6
마포구,아현동,3303,3012,682,6693.888889,25549,0.262001992,0.0276158,31,0.002540359,1
도봉구,쌍문4동,1718,2975,688,5075.222222,18928,0.268133042,0,27,0.002212571,6
도봉구,쌍문3동,1064,3434,828,4958,16734,0.296283017,0.0011444,19,0.001556994,6
도봉구,쌍문2동,1337,3783,949,5647.222222,18921,0.298463201,0.0547401,49,0.004015406,5
도봉구,쌍문1동,1566,4473,1123,6662.888889,21690,0.307187132,0.0242061,38,0.003113988,6
서대문구,신촌동,936,2083,482,3286.777778,19229,0.17092817,0,28,0.002294518,6
양천구,신정7동,2860,4867,1401,8505.333333,29490,0.288414152,0,44,0.003605671,6
양천구,신정6동,3111,2687,462,6054.666667,24854,0.243609345,0,19,0.001556994,1
양천구,신정4동,2217,5747,1635,8872.333333,33175,0.267440342,0.0097692,56,0.004589035,1
양천구,신정3동,5347,7093,2116,13615.55556,49213,0.276665831,0,59,0.004834877,6
양천구,신정2동,2168,2515,734,5090.777778,19742,0.257865352,0.0129162,23,0.001884782,1
양천구,신정1동,2752,2620,565,5685.888889,20600,0.276014024,0.0314994,27,0.002212571,1
양천구,신월7동,1369,4306,1150,6313.888889,20239,0.311966445,0,32,0.002622306,3
양천구,신월6동,1803,1746,437,3791.777778,13789,0.274985697,0.0220036,15,0.001229206,6
양천구,신월5동,1327,2368,720,4095,14903,0.274776891,0,23,0.001884782,2
양천구,신월4동,1917,3205,899,5621.444444,18225,0.308446883,0.0178589,41,0.00335983,1
양천구,신월3동,1127,2929,932,4573.777778,15452,0.29599908,0.0028701,32,0.002622306,2
양천구,신월2동,1942,3784,999,6281,20987,0.299280507,0.007298,36,0.002950094,6
양천구,신월1동,1313,4080,1258,6091.888889,20689,0.294450621,0.0715494,32,0.002622306,1
관악구,신원동,763,3178,827,4400.444444,18100,0.243118478,0,14,0.001147259,1
마포구,신수동,2166,3272,703,5828.555556,22839,0.255201872,0,14,0.001147259,5
은평구,신사2동,1492,3789,970,5819.888889,20591,0.282642363,0,37,0.003032041,6
은평구,신사1동,2112,4818,1236,7616.666667,27309,0.278906832,0.0290242,36,0.002950094,1
관악구,신림동,441,1905,554,2653.777778,21805,0.121705012,0.0186575,11,0.000901418,1
구로구,신도림동,4702,4616,933,9836.333333,35853,0.274351751,0,54,0.004425141,1
동작구,신대방2동,1880,3022,707,5294.777778,19912,0.265908888,0.0139186,28,0.002294518,6
동작구,신대방1동,2204,3715,827,6378.444444,23492,0.271515599,0,24,0.001966729,6
중구,신당6동,941,1890,440,3075.444444,10586,0.290519974,0,15,0.001229206,6
중구,신당5동,704,1812,495,2791,10501,0.265784211,2.36E-05,12,0.000983365,6
중구,신당4동,981,2728,634,4061.222222,13894,0.292300433,0,18,0.001475047,5
중구,신당3동,1347,3805,892,5647.555556,16920,0.333779879,0,16,0.001311153,6
중구,신당2동,749,2694,653,3805.777778,14141,0.269130739,0,15,0.001229206,1
중구,신당1동,327,1448,390,1991.666667,7680,0.259331597,0,7,0.000573629,1
중랑구,신내2동,1807,3934,1458,6551,20991,0.312086132,0.00772,50,0.004097353,3
중랑구,신내1동,4459,6623,1923,12150.33333,39098,0.310766109,0.0195491,62,0.005080718,3
영등포구,신길7동,2591,2420,573,5329.333333,19995,0.2665333,0,15,0.001229206,5
영등포구,신길6동,1489,3177,731,5072.111111,19102,0.265527752,0.0117723,29,0.002376465,1
영등포구,신길5동,1007,1983,560,3301.111111,10937,0.301829671,0,10,0.000819471,1
영등포구,신길4동,1106,2190,609,3634.333333,12283,0.295883199,0,16,0.001311153,5
영등포구,신길3동,1474,3034,845,4977.444444,16721,0.297676242,0.0103631,26,0.002130624,5
영등포구,신길1동,792,3180,828,4432,17239,0.257091479,0.0001808,16,0.001311153,2
금천구,시흥5동,1281,4284,1202,6232.777778,19497,0.319678811,0.0215041,36,0.002950094,3
금천구,시흥4동,1477,4010,1112,6104.777778,20604,0.296290904,9.30E-06,30,0.002458412,3
금천구,시흥3동,709,2299,564,3321.333333,10950,0.303318113,0,13,0.001065312,3
금천구,시흥2동,2152,3932,1142,6718.444444,21550,0.311760763,0.0227035,37,0.003032041,6
금천구,시흥1동,2361,6016,1660,9299.222222,33246,0.279709506,0.0205373,61,0.004998771,1
종로구,숭인2동,334,1594,436,2170.222222,9542,0.227438925,0.0013275,10,0.000819471,1
종로구,숭인1동,365,1199,292,1726.222222,6041,0.285751071,0.0238113,5,0.000409735,6
강북구,수유3동,1053,4564,1110,6233.666667,23276,0.267815203,0.0036502,27,0.002212571,1
강북구,수유2동,1407,4749,1101,6767.666667,21441,0.315641372,0.0289406,32,0.002622306,1
강북구,수유1동,1374,4343,1296,6437,20963,0.307064829,0.0129206,31,0.002540359,3
강남구,수서동,740,4483,2150,6417.444444,15049,0.426436603,0,25,0.002048677,3
은평구,수색동,858,2042,564,3213.333333,11230,0.28613832,0,12,0.000983365,1
구로구,수궁동,1949,4303,1252,6947.555556,23828,0.291571074,0.0011045,33,0.002704253,3
송파구,송파2동,2069,2798,523,5157.555556,19772,0.260851485,0.0090572,20,0.001638941,6
송파구,송파1동,1547,3393,695,5326.111111,24506,0.217339064,0.0156113,30,0.002458412,5
강북구,송천동,1404,6063,1541,8323.111111,27040,0.307807364,0,35,0.002868147,6
